First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Captaiin,Hook,Purchase,47,UTEP Wind Symphony 3,2,VIP
Ridley,Dean,Purchase,70,UTEP Commencement 2,5,Gold
Jake,Mayers,Purchase,66,Coachella 2,4,VIP
Emiliano,Garcia,Purchase,94,Post Malone World Tour,6,GA
Eloy,Perez Quinones,Purchase,65,Coachella 1,1,Silver
Jonathan,Gomez,Purchase,65,Coachella 1,4,VIP
Elian,Pena Ramos,Purchase,107,The Weeknd: After Hours Til Dawn Tour,5,Gold
Daniel,Mejia,Purchase,32,UTEP Basketball 19,3,VIP
Avery,Whittman,Purchase,47,UTEP Wind Symphony 3,3,Gold
Anthony,Casillas,Purchase,102,UTEP Spring Carnival,5,Gold
Hercules,Disney,Purchase,5,UTEP Football 5,1,Bronze
Quasimodo,Disney,Purchase,115,UTEP Miner Film Fest,5,Bronze
Ana,Rodriguez,Purchase,83,UTEP Fiesta Latina,2,Gold
Pablo,Escobar,Purchase,36,UTEP Basketball 23,2,GA
Adan,Zamorano,Purchase,100,UTEP Miner Cook-Off,5,Silver
Diego,Sanchez,Purchase,99,Ed Sheeran Mathematics Tour,2,VIP
Ares,Salazar,Purchase,92,UTEP Miners vs. SMU (Football),4,VIP
Prince,Eric,Purchase,2,UTEP Football 2,1,Gold
Russel,Westbrook,Purchase,41,UTEP Basketball 28,1,VIP
Jesus,Munoz,Purchase,11,UTEP Football 11,4,Bronze
Jonus,Ronquillo,Purchase,61,RBD Live,4,GA
Kid,Rock,Purchase,117,Metallica M72 World Tour,4,Bronze
Lilo,Disney,Purchase,44,UTEP Basketball 31,4,Bronze
Carlo,Alonso,Purchase,50,UTEP Wind Symphony 6,5,Gold
Luis,Armado,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),5,Gold
Caelyn,Campos,Purchase,110,Banda MS Tour 2026,1,Bronze
Alireza,Nouri,Purchase,102,UTEP Spring Carnival,6,Gold
Urvi,Beltran,Purchase,1,UTEP Football 1,3,Silver
Jason,Durulo,Purchase,89,UTEP Miners Volleyball vs. Rice,5,GA
Emiliano,Huerta,Purchase,2,UTEP Football 2,6,GA
Andrea,Villa,Purchase,71,UTEP Commencement 3,3,Silver
Sam,Dominguez-Flores,Purchase,99,Ed Sheeran Mathematics Tour,4,Silver
Chip,Disney,Purchase,56,UTEP Wind Symphony 12,6,Gold
Brian,Casio Iracheta,Purchase,36,UTEP Basketball 23,5,Silver
Buzz,Lightyear,Purchase,17,UTEP Basketball 4,5,Bronze
Urvi,Beltran,Purchase,50,UTEP Wind Symphony 6,1,Silver
Water,Bottle,Purchase,112,Imagine Dragons Live,5,Bronze
Simba,King,Purchase,7,UTEP Football 7,2,Silver
Isabel,Quinones,Purchase,91,Bruno Mars 24K Magic Live,2,Bronze
Jose,Ortiz Zarate,Purchase,11,UTEP Football 11,4,Bronze
Kid,Rock,Purchase,117,Metallica M72 World Tour,6,Bronze
Pablo,Escobar,Purchase,23,UTEP Basketball 10,4,Bronze
Deep,Learning,Purchase,3,UTEP Football 3,5,VIP
Scar,Lion,Purchase,60,Karol G Live,2,GA
Sports,Fan,Purchase,61,RBD Live,5,Bronze
Maria,Duron,Purchase,72,UTEP Commencement 3,5,Gold
Kid,Cuddi,Purchase,10,UTEP Football 10,5,VIP
Carlo,Alonso,Purchase,3,UTEP Football 3,2,Gold
Urvi,Beltran,Purchase,18,UTEP Basketball 5,2,GA
Ursela,Mermaid,Purchase,23,UTEP Basketball 10,5,Silver
Alexa,Ramirez-Salinas,Purchase,15,UTEP Basketball 2,1,GA
Stitch,Disney,Purchase,105,Miner Lights Winter Fest,1,GA
Luis,Zepeda-Rodriguez,Purchase,89,UTEP Miners Volleyball vs. Rice,5,GA
Maurizio,Gonzalez,Purchase,67,ACL,1,GA
Alex,Marquez,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),6,Bronze
Avery,Whittman,Purchase,27,UTEP Basketball 14,1,VIP
Kaa,Disney,Purchase,40,UTEP Basketball 27,2,Bronze
Jasmine,Disney,Purchase,13,UTEP Football 13,6,GA
Carlo,Alonso,Purchase,24,UTEP Basketball 11,6,VIP
Anthony,Casillas,Purchase,72,UTEP Commencement 3,5,Gold
Donald,Duck,Purchase,84,Miner Choir Holiday Gala,5,Gold
Zachary,Carrejo,Purchase,72,UTEP Commencement 3,4,GA
Luis,Carreon,Purchase,74,ACL 2,3,GA
Sports,Fan,Purchase,115,UTEP Miner Film Fest,6,VIP
Avery,Whittman,Purchase,35,UTEP Basketball 22,5,Gold
Shere,Khan,Purchase,110,Banda MS Tour 2026,3,VIP
Aadvika,Pandey,Purchase,20,UTEP Basketball 7,3,Gold
Diego,Sanchez,Purchase,108,Miner Summer Bash,1,GA
Emmanuel,Barraza-Villa,Purchase,59,Bad Bunny Live,2,Bronze
Estefania,Fernadez,Purchase,102,UTEP Spring Carnival,6,GA
Russel,Westbrook,Purchase,121,Miner Holiday Market,3,Silver
Pinocchio,Disney,Purchase,43,UTEP Basketball 30,6,VIP
Stitch,Disney,Purchase,28,UTEP Basketball 15,5,Gold
Gael,Argumedo,Purchase,37,UTEP Basketball 24,4,Silver
Sam,Alderete,Purchase,46,UTEP Wind Symphony 2,1,Bronze
JohnMichael,Betancourt,Purchase,45,UTEP Wind Symphony 1,4,GA
Adan,Zamorano,Purchase,35,UTEP Basketball 22,6,Gold
Frida,Pena,Purchase,41,UTEP Basketball 28,5,Silver
Beast,Disney,Purchase,28,UTEP Basketball 15,1,VIP
Maria,Duron,Purchase,106,UTEP Alumni Band Reunion Concert,6,Bronze
Diego,Sanchez,Purchase,60,Karol G Live,6,VIP
Eugenio,Fernandez,Purchase,77,UTEP Symphony Spring Concert,4,Silver
Matthieu,Enriquez,Purchase,18,UTEP Basketball 5,2,Gold
Random,Name,Purchase,110,Banda MS Tour 2026,1,GA
Emiliano,Huerta,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),6,Bronze
Anisa,Hyder,Purchase,75,EDC,5,Gold
Jonus,Ronquillo,Purchase,103,Maná México Lindo Tour,6,VIP
Frida,Pena,Purchase,1,UTEP Football 1,6,Silver
Gael,Argumedo,Purchase,92,UTEP Miners vs. SMU (Football),3,Silver
JohnMichael,Betancourt,Purchase,63,Shakira Live,2,VIP
Alan,Villamil Cabrera,Purchase,87,Miner Food & Brew Festival,1,Gold
Maurizio,Gonzalez,Purchase,36,UTEP Basketball 23,4,GA
Beast,Disney,Purchase,120,Miner Philharmonic Strings,6,Silver
Elian,Pena Ramos,Purchase,13,UTEP Football 13,1,VIP
Daniel,Morales,Purchase,32,UTEP Basketball 19,3,Gold
Isabel,Quinones,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),2,Gold
Fernando,Vargas,Purchase,84,Miner Choir Holiday Gala,1,GA
Luis,Carreon,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,6,VIP
Ursela,Mermaid,Purchase,100,UTEP Miner Cook-Off,6,VIP
Alan,Villamil Cabrera,Purchase,117,Metallica M72 World Tour,3,Gold
Jason,Ortiz,Purchase,98,UTEP Miners vs. FIU (Football),4,Silver
Mickey,Mouse,Purchase,2,UTEP Football 2,5,Gold
Goofy,Disney,Purchase,5,UTEP Football 5,2,Silver
Alejandro,Solano,Purchase,54,UTEP Wind Symphony 10,5,Gold
Luis,Carreon,Purchase,85,UTEP Miners vs. UTSA (Football),6,GA
Dale,Disney,Purchase,86,Los Ángeles Azules en Concierto,6,Gold
Maria,Duron,Purchase,2,UTEP Football 2,4,Silver
Dak,Prescot,Purchase,1,UTEP Football 1,6,Silver
Luis,Miguel,Purchase,108,Miner Summer Bash,3,GA
Jason,Ortiz,Purchase,70,UTEP Commencement 2,3,Silver
Alejandro,Solano,Purchase,92,UTEP Miners vs. SMU (Football),2,GA
Captaiin,Hook,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),6,Gold
Shere,Khan,Purchase,25,UTEP Basketball 12,5,Gold
Ursela,Mermaid,Purchase,21,UTEP Basketball 8,5,Silver
Elian,Pena Ramos,Purchase,79,Gloria Trevi Live in El Paso,1,VIP
Chip,Disney,Purchase,96,UTEP Miner Pride Week,6,Gold
Gael,Argumedo,Purchase,32,UTEP Basketball 19,6,Gold
Julieta,Rodriguez,Purchase,92,UTEP Miners vs. SMU (Football),3,Bronze
Patty,Martinez,Purchase,120,Miner Philharmonic Strings,1,Bronze
Eugenio,Fernandez,Purchase,70,UTEP Commencement 2,1,Gold
Kaa,Disney,Purchase,65,Coachella 1,2,Bronze
James,Harden,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),2,Gold
Alireza,Nouri,Purchase,54,UTEP Wind Symphony 10,5,Gold
Thiaxi,Melendez Cepeda,Purchase,46,UTEP Wind Symphony 2,1,Gold
Eugenio,Fernandez,Purchase,103,Maná México Lindo Tour,4,Silver
Random,Name,Purchase,4,UTEP Football 4,2,Silver
Russel,Westbrook,Purchase,96,UTEP Miner Pride Week,5,GA
Mickey,Mouse,Purchase,65,Coachella 1,5,Bronze
Quasimodo,Disney,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,5,GA
Random,Name,Purchase,55,UTEP Wind Symphony 11,6,Bronze
Mickey,Mouse,Purchase,66,Coachella 2,6,Silver
Patty,Martinez,Purchase,43,UTEP Basketball 30,6,Bronze
Raphael,Romero,Purchase,86,Los Ángeles Azules en Concierto,4,GA
Isabela,Gaytan,Purchase,1,UTEP Football 1,2,Silver
Luis,Carreon,Purchase,74,ACL 2,1,Bronze
Isabela,Gaytan,Purchase,85,UTEP Miners vs. UTSA (Football),1,Gold
Dale,Disney,Purchase,1,UTEP Football 1,6,Bronze
Javier,Flores De La O,Purchase,39,UTEP Basketball 26,4,Bronze
Gaston,Disney,Purchase,3,UTEP Football 3,4,Silver
Simba,Disney,Purchase,52,UTEP Wind Symphony 8,4,Bronze
Cinderella,Disney,Purchase,71,UTEP Commencement 3,6,GA
Quasimodo,Disney,Purchase,66,Coachella 2,4,VIP
Sports,Fan,Purchase,86,Los Ángeles Azules en Concierto,2,Gold
Luis,Carreon,Purchase,1,UTEP Football 1,5,Gold
Sabina,Sosa,Purchase,22,UTEP Basketball 9,4,Bronze
Daniel,Reyes,Purchase,10,UTEP Football 10,5,VIP
Sabina,Sosa,Purchase,87,Miner Food & Brew Festival,3,Silver
Frida,Pena,Purchase,61,RBD Live,1,GA
Klay,Thompson,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,6,Gold
Victoria,Lopez,Purchase,103,Maná México Lindo Tour,5,Gold
Carlos,Marin,Purchase,34,UTEP Basketball 21,4,Bronze
Stitch,Disney,Purchase,43,UTEP Basketball 30,4,VIP
Daniel,Mejia,Purchase,34,UTEP Basketball 21,2,GA
First,Last,Purchase,105,Miner Lights Winter Fest,1,Silver
Water,Bottle,Purchase,68,Minerpalooza,6,Bronze
Fernando,Vargas,Purchase,59,Bad Bunny Live,1,Silver
Jonathan,Gomez,Purchase,5,UTEP Football 5,4,Gold
Water,Bottle,Purchase,121,Miner Holiday Market,2,Bronze
Machine,Learning,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),6,Bronze
Diego,Sanchez,Purchase,77,UTEP Symphony Spring Concert,5,Gold
Raphael,Romero,Purchase,109,UTEP Miners vs. New Mexico (Basketball),3,VIP
Belle,Disney,Purchase,13,UTEP Football 13,1,Silver
Buzz,Lightyear,Purchase,91,Bruno Mars 24K Magic Live,4,GA
Emiliano,Garcia,Purchase,18,UTEP Basketball 5,2,Silver
Gabriel,Tovar,Purchase,77,UTEP Symphony Spring Concert,5,Bronze
Daniel,Mejia,Purchase,25,UTEP Basketball 12,5,VIP
Isabela,Gaytan,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),2,Bronze
Jason,Durulo,Purchase,5,UTEP Football 5,6,Bronze
Dale,Disney,Purchase,29,UTEP Basketball 16,4,GA
Pablo,Escobar,Purchase,86,Los Ángeles Azules en Concierto,4,VIP
Caelyn,Campos,Purchase,84,Miner Choir Holiday Gala,1,GA
Tom,Holland,Purchase,110,Banda MS Tour 2026,2,Gold
Belle,Disney,Purchase,37,UTEP Basketball 24,1,Silver
Daniel,Montellano Pinon,Purchase,63,Shakira Live,3,GA
Dale,Disney,Purchase,117,Metallica M72 World Tour,5,GA
Andrea,Villa,Purchase,51,UTEP Wind Symphony 7,2,GA
Maria,Duron,Purchase,17,UTEP Basketball 4,1,Gold
Ariel,Disney,Purchase,62,Olivia Rodrigo Live,4,GA
Chip,Disney,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),4,Silver
Alondra,Mariscal,Purchase,19,UTEP Basketball 6,3,Gold
Miguel,Renteria,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),5,GA
Jose,Ortiz Zarate,Purchase,88,Coldplay: Viva La Vida Tour,1,Silver
Alan,Villamil Cabrera,Purchase,26,UTEP Basketball 13,3,VIP
Sam,Dominguez-Flores,Purchase,111,UTEP Miner Farmers Market,1,VIP
Woody,Disney,Purchase,27,UTEP Basketball 14,3,Bronze
Jose,Ortiz Zarate,Purchase,106,UTEP Alumni Band Reunion Concert,2,Bronze
Daniel,Reyes,Purchase,108,Miner Summer Bash,5,Bronze
Maurizio,Gonzalez,Purchase,39,UTEP Basketball 26,4,Gold
Aadvika,Pandey,Purchase,31,UTEP Basketball 18,2,GA
Simba,Disney,Purchase,56,UTEP Wind Symphony 12,4,GA
Emmanuel,Barraza-Villa,Purchase,20,UTEP Basketball 7,1,Silver
Brian,Casio Iracheta,Purchase,71,UTEP Commencement 3,2,VIP
Gael,Argumedo,Purchase,18,UTEP Basketball 5,6,Gold
Buzz,Lightyear,Purchase,24,UTEP Basketball 11,3,VIP
Henry,Ng,Purchase,83,UTEP Fiesta Latina,4,Gold
Mufassa,Disney,Purchase,84,Miner Choir Holiday Gala,4,Silver
Daniel,Cardenas,Purchase,51,UTEP Wind Symphony 7,1,GA
Kid,Rock,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,5,VIP
Emily,Fernandez,Purchase,88,Coldplay: Viva La Vida Tour,1,Bronze
Beast,Disney,Purchase,70,UTEP Commencement 2,3,Bronze
Zachary,Carrejo,Purchase,74,ACL 2,5,Bronze
Ridley,Dean,Purchase,85,UTEP Miners vs. UTSA (Football),5,Silver
Russel,Westbrook,Purchase,26,UTEP Basketball 13,4,Gold
Evil,Queen,Purchase,90,UTEP Cultural Arts Festival,4,GA
Armando,Levario Alvarez,Purchase,103,Maná México Lindo Tour,4,Bronze
Scar,Lion,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),2,Bronze
Draymond,Green,Purchase,114,Shakira World Tour 2026,4,Silver
Mickey,Mouse,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),1,VIP
Caelyn,Campos,Purchase,90,UTEP Cultural Arts Festival,5,VIP
Alexa,Ramirez-Salinas,Purchase,56,UTEP Wind Symphony 12,6,Bronze
Dale,Disney,Purchase,51,UTEP Wind Symphony 7,2,Silver
Kendra,Burton,Purchase,51,UTEP Wind Symphony 7,6,GA
Cindy,Zhu,Purchase,107,The Weeknd: After Hours Til Dawn Tour,1,Bronze
Alireza,Nouri,Purchase,104,UTEP Miners vs. Liberty (Football),1,VIP
Eugenio,Fernandez,Purchase,52,UTEP Wind Symphony 8,4,Bronze
Henry,Ng,Purchase,64,Justin Timberlake Live,3,VIP
Stitch,Disney,Purchase,12,UTEP Football 12,5,Gold
Jesus,Munoz,Purchase,50,UTEP Wind Symphony 6,1,Bronze
Daniel,Cardenas,Purchase,55,UTEP Wind Symphony 11,3,Gold
Isabela,Gaytan,Purchase,41,UTEP Basketball 28,5,GA
Luis,Zepeda-Rodriguez,Purchase,105,Miner Lights Winter Fest,3,Silver
Kid,Rock,Purchase,109,UTEP Miners vs. New Mexico (Basketball),4,GA
Deep,Learning,Purchase,85,UTEP Miners vs. UTSA (Football),2,VIP
Peter,Pan,Purchase,90,UTEP Cultural Arts Festival,6,Gold
Chip,Disney,Purchase,109,UTEP Miners vs. New Mexico (Basketball),1,Gold
Anthony,Casillas,Purchase,46,UTEP Wind Symphony 2,3,Gold
Carlo,Alonso,Purchase,114,Shakira World Tour 2026,4,Bronze
Daniel,Mejia,Purchase,31,UTEP Basketball 18,1,Bronze
Quasimodo,Disney,Purchase,117,Metallica M72 World Tour,6,GA
Miguel,Renteria,Purchase,117,Metallica M72 World Tour,4,Silver
George,Lopez,Purchase,106,UTEP Alumni Band Reunion Concert,5,Bronze
Maurizio,Gonzalez,Purchase,71,UTEP Commencement 3,6,VIP
Brenden,Ucol,Purchase,7,UTEP Football 7,5,VIP
Ximena,Apodaca,Purchase,28,UTEP Basketball 15,3,Silver
Isabela,Gaytan,Purchase,28,UTEP Basketball 15,2,GA
Ximena,Apodaca,Purchase,69,UTEP Commencement 1,4,VIP
Jesus,Munoz,Purchase,47,UTEP Wind Symphony 3,6,GA
David,Bai,Purchase,34,UTEP Basketball 21,4,Bronze
Jafar,Aladdin,Purchase,43,UTEP Basketball 30,1,Silver
Miguel,Renteria,Purchase,112,Imagine Dragons Live,4,Bronze
Simba,Disney,Purchase,91,Bruno Mars 24K Magic Live,4,Gold
Minnie,Mouse,Purchase,108,Miner Summer Bash,3,GA
Ares,Salazar,Purchase,93,Miner Fest 2026,6,VIP
Jonus,Ronquillo,Purchase,7,UTEP Football 7,1,Silver
JohnMichael,Betancourt,Purchase,102,UTEP Spring Carnival,3,Bronze
Emmanuel,Barraza-Villa,Purchase,98,UTEP Miners vs. FIU (Football),3,Gold
Maria,Duron,Purchase,81,UTEP Jazz Ensemble Night,6,VIP
Cia,Martin,Purchase,114,Shakira World Tour 2026,2,Gold
Burger,King,Purchase,14,UTEP Basketball 1,3,Bronze
Eugenio,Fernandez,Purchase,79,Gloria Trevi Live in El Paso,4,GA
Anthony,Casillas,Purchase,14,UTEP Basketball 1,1,Gold
Denisse,Loya,Purchase,68,Minerpalooza,5,Gold
Dale,Disney,Purchase,113,UTEP Miners vs. UAB (Football),4,Silver
Isabel,Quinones,Purchase,64,Justin Timberlake Live,4,Gold
Mickey,Mouse,Purchase,2,UTEP Football 2,3,Silver
Scar,Lion,Purchase,44,UTEP Basketball 31,4,Gold
Emmanuel,Barraza-Villa,Purchase,113,UTEP Miners vs. UAB (Football),3,GA
Sofia,Vergara,Purchase,35,UTEP Basketball 22,4,VIP
Denisse,Loya,Purchase,41,UTEP Basketball 28,1,Silver
Alexa,Ramirez-Salinas,Purchase,31,UTEP Basketball 18,4,GA
Evelyn,Fang,Purchase,54,UTEP Wind Symphony 10,1,Silver
Mufassa,Disney,Purchase,67,ACL,6,GA
Donald,Duck,Purchase,9,UTEP Football 9,2,Bronze
Eugenio,Fernandez,Purchase,105,Miner Lights Winter Fest,3,GA
Malachi,Rosas,Purchase,70,UTEP Commencement 2,6,Gold
Fernando,Vargas,Purchase,50,UTEP Wind Symphony 6,2,Bronze
Sabina,Sosa,Purchase,99,Ed Sheeran Mathematics Tour,5,Silver
Alondra,Mariscal,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),2,Silver
Chip,Disney,Purchase,117,Metallica M72 World Tour,4,VIP
Emiliano,Huerta,Purchase,11,UTEP Football 11,1,Silver
Taco,Bell,Purchase,120,Miner Philharmonic Strings,2,VIP
Sabina,Sosa,Purchase,25,UTEP Basketball 12,1,VIP
Isabela,Gaytan,Purchase,13,UTEP Football 13,1,Gold
Denisse,Loya,Purchase,53,UTEP Wind Symphony 9,6,Bronze
Malachi,Rosas,Purchase,28,UTEP Basketball 15,1,GA
Isabela,Gaytan,Purchase,106,UTEP Alumni Band Reunion Concert,2,Bronze
Armando,Levario Alvarez,Purchase,77,UTEP Symphony Spring Concert,4,Bronze
Thiaxi,Melendez Cepeda,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),1,Silver
Estefania,Fernadez,Purchase,83,UTEP Fiesta Latina,4,Bronze
Armando,Levario Alvarez,Purchase,106,UTEP Alumni Band Reunion Concert,4,Silver
Caelyn,Campos,Purchase,80,UTEP Spring Music Fest,2,Silver
Jasmine,Disney,Purchase,108,Miner Summer Bash,2,Silver
Avery,Whittman,Purchase,14,UTEP Basketball 1,4,Silver
Lebron,James,Purchase,10,UTEP Football 10,2,Gold
Avery,Whittman,Purchase,17,UTEP Basketball 4,1,Bronze
Peter,Pan,Purchase,22,UTEP Basketball 9,4,Gold
Luis,Zepeda-Rodriguez,Purchase,24,UTEP Basketball 11,2,GA
Isai,Nino Morales,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),6,Gold
Ariel,Disney,Purchase,88,Coldplay: Viva La Vida Tour,5,GA
Mickey,Mouse,Purchase,44,UTEP Basketball 31,4,Gold
Brenden,Ucol,Purchase,88,Coldplay: Viva La Vida Tour,5,Bronze
Daniel,Cardenas,Purchase,98,UTEP Miners vs. FIU (Football),4,Gold
Cruella,DeVil,Purchase,20,UTEP Basketball 7,5,GA
Daniel,Mejia,Purchase,44,UTEP Basketball 31,3,GA
Christina,Perez,Purchase,15,UTEP Basketball 2,2,GA
Simba,Disney,Purchase,55,UTEP Wind Symphony 11,1,Silver
Armando,Levario Alvarez,Purchase,87,Miner Food & Brew Festival,1,GA
Lucas,Esquivel,Purchase,115,UTEP Miner Film Fest,2,GA
Isaiah,Johnson,Purchase,49,UTEP Wind Symphony 5,1,Silver
JohnMichael,Betancourt,Purchase,104,UTEP Miners vs. Liberty (Football),6,Silver
Ximena,Apodaca,Purchase,42,UTEP Basketball 29,6,Gold
Goofy,Disney,Purchase,96,UTEP Miner Pride Week,1,Bronze
Saul,Burns,Purchase,44,UTEP Basketball 31,4,Gold
Dale,Disney,Purchase,49,UTEP Wind Symphony 5,4,GA
Alondra,Mariscal,Purchase,31,UTEP Basketball 18,3,Gold
Eloy,Perez Quinones,Purchase,81,UTEP Jazz Ensemble Night,2,GA
Elian,Pena Ramos,Purchase,12,UTEP Football 12,1,Silver
Emiliano,Huerta,Purchase,92,UTEP Miners vs. SMU (Football),5,Gold
Aladdin,Disney,Purchase,74,ACL 2,3,Silver
Russel,Westbrook,Purchase,92,UTEP Miners vs. SMU (Football),3,Bronze
Jason,Durulo,Purchase,9,UTEP Football 9,4,Gold
Dale,Disney,Purchase,32,UTEP Basketball 19,2,Silver
Alex,Marquez,Purchase,97,Grupo Frontera Tour 2026,4,Gold
Michael,Close,Purchase,28,UTEP Basketball 15,2,GA
Christina,Perez,Purchase,54,UTEP Wind Symphony 10,3,Silver
Fatima,Ortiz,Purchase,91,Bruno Mars 24K Magic Live,5,Gold
Machine,Learning,Purchase,24,UTEP Basketball 11,6,Bronze
Sam,Alderete,Purchase,67,ACL,2,Silver
Cruella,DeVil,Purchase,10,UTEP Football 10,6,Silver
Ana,Rodriguez,Purchase,96,UTEP Miner Pride Week,1,Silver
James,Harden,Purchase,87,Miner Food & Brew Festival,1,Bronze
Kendra,Burton,Purchase,110,Banda MS Tour 2026,6,Bronze
Ares,Salazar,Purchase,87,Miner Food & Brew Festival,3,VIP
Luis,Miguel,Purchase,67,ACL,3,GA
Scar,Lion,Purchase,92,UTEP Miners vs. SMU (Football),4,Gold
Estefania,Fernadez,Purchase,115,UTEP Miner Film Fest,1,VIP
Julieta,Rodriguez,Purchase,55,UTEP Wind Symphony 11,2,Bronze
Jose,Ortiz Zarate,Purchase,75,EDC,6,GA
Aurora,Disney,Purchase,44,UTEP Basketball 31,6,VIP
Lucas,Esquivel,Purchase,63,Shakira Live,1,Silver
Isai,Nino Morales,Purchase,109,UTEP Miners vs. New Mexico (Basketball),3,Silver
Maria,Duron,Purchase,49,UTEP Wind Symphony 5,1,Bronze
Andrea,Villa,Purchase,82,UTEP Miners vs. North Texas (Basketball),3,Silver
Daniel,Mejia,Purchase,44,UTEP Basketball 31,2,Silver
Francisco,Garcia,Purchase,121,Miner Holiday Market,2,Gold
Fatima,Ortiz,Purchase,6,UTEP Football 6,4,GA
Lebron,James,Purchase,52,UTEP Wind Symphony 8,1,Bronze
Javier,Flores De La O,Purchase,112,Imagine Dragons Live,1,GA
Eloy,Perez Quinones,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),3,GA
Adrian,Sifuentes,Purchase,31,UTEP Basketball 18,5,GA
Raphael,Romero,Purchase,104,UTEP Miners vs. Liberty (Football),5,GA
Goofy,Disney,Purchase,70,UTEP Commencement 2,6,Silver
Daniel,Montellano Pinon,Purchase,3,UTEP Football 3,4,Bronze
Daniel,Reyes,Purchase,27,UTEP Basketball 14,5,Gold
Stephen,Curry,Purchase,102,UTEP Spring Carnival,2,GA
Aladdin,Disney,Purchase,41,UTEP Basketball 28,4,GA
Fernando,Vargas,Purchase,42,UTEP Basketball 29,1,VIP
Malachi,Rosas,Purchase,92,UTEP Miners vs. SMU (Football),5,Silver
Burger,King,Purchase,69,UTEP Commencement 1,3,Silver
Armando,Levario Alvarez,Purchase,37,UTEP Basketball 24,5,Silver
Simba,Disney,Purchase,11,UTEP Football 11,6,Gold
Belle,Disney,Purchase,90,UTEP Cultural Arts Festival,5,GA
Beast,Disney,Purchase,111,UTEP Miner Farmers Market,1,Bronze
James,Harden,Purchase,88,Coldplay: Viva La Vida Tour,2,Gold
David,Bai,Purchase,88,Coldplay: Viva La Vida Tour,3,GA
Daniel,Morales,Purchase,87,Miner Food & Brew Festival,2,VIP
Christina,Perez,Purchase,56,UTEP Wind Symphony 12,5,VIP
Captaiin,Hook,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),6,Silver
Carlos,Marin,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),5,VIP
Lilo,Disney,Purchase,87,Miner Food & Brew Festival,3,VIP
Michael,Close,Purchase,100,UTEP Miner Cook-Off,2,Gold
Cinderella,Disney,Purchase,120,Miner Philharmonic Strings,6,GA
Kendra,Burton,Purchase,93,Miner Fest 2026,4,Gold
Quasimodo,Disney,Purchase,7,UTEP Football 7,2,Silver
Russel,Westbrook,Purchase,24,UTEP Basketball 11,6,Bronze
Random,Name,Purchase,33,UTEP Basketball 20,6,VIP
Daniel,Cardenas,Purchase,8,UTEP Football 8,5,Gold
Pablo,Escobar,Purchase,11,UTEP Football 11,4,Gold
Anisa,Hyder,Purchase,59,Bad Bunny Live,2,Gold
Jasmine,Disney,Purchase,93,Miner Fest 2026,6,GA
Ares,Salazar,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),5,Silver
Buzz,Lightyear,Purchase,83,UTEP Fiesta Latina,3,GA
Emmanuel,Barraza-Villa,Purchase,25,UTEP Basketball 12,2,Silver
Evelyn,Fang,Purchase,109,UTEP Miners vs. New Mexico (Basketball),3,VIP
Vera,Wang,Purchase,64,Justin Timberlake Live,1,Bronze
Eloy,Perez Quinones,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,2,VIP
Saul,Burns,Purchase,108,Miner Summer Bash,1,Bronze
Cinderella,Disney,Purchase,8,UTEP Football 8,2,GA
Woody,Disney,Purchase,91,Bruno Mars 24K Magic Live,2,Silver
Russel,Westbrook,Purchase,37,UTEP Basketball 24,6,Bronze
Shere,Khan,Purchase,82,UTEP Miners vs. North Texas (Basketball),4,Gold
Anisa,Hyder,Purchase,96,UTEP Miner Pride Week,3,VIP
Brian,Casio Iracheta,Purchase,121,Miner Holiday Market,4,Silver
Carlo,Alonso,Purchase,45,UTEP Wind Symphony 1,2,VIP
Avery,Whittman,Purchase,30,UTEP Basketball 17,4,Gold
Dale,Disney,Purchase,117,Metallica M72 World Tour,3,Gold
Alejandro,Solano,Purchase,104,UTEP Miners vs. Liberty (Football),3,GA
Ares,Salazar,Purchase,37,UTEP Basketball 24,5,Bronze
Sabina,Sosa,Purchase,56,UTEP Wind Symphony 12,2,Bronze
Ariel,Disney,Purchase,77,UTEP Symphony Spring Concert,2,Silver
